tau,n_events,mean_n_per_event,beta_fuel,se_fuel,t_fuel,beta_geo,se_geo,t_geo
-12,117,248.1,0.761689,0.339093,2.246,0.286243,0.205023,1.396
-11,117,248.5,-0.328786,0.329518,-0.998,-0.175779,0.104143,-1.688
-10,122,266.3,-0.453164,0.428261,-1.058,-0.280140,0.151100,-1.854
-9,127,261.1,0.069472,0.390267,0.178,-0.037735,0.215065,-0.175
-8,129,270.6,-0.040123,0.443050,-0.091,-0.137765,0.077683,-1.773
-7,129,268.8,-2.070764,0.646933,-3.201,-0.029238,0.084954,-0.344
-6,129,269.3,0.764019,0.424425,1.800,-0.156541,0.064973,-2.409
-5,130,292.3,0.796162,0.398698,1.997,0.017286,0.091668,0.189
-4,132,290.1,-0.763390,0.396476,-1.925,0.244882,0.079671,3.074
-3,132,300.5,0.703341,0.412881,1.703,0.095883,0.061282,1.565
-2,132,304.1,-0.231906,0.342255,-0.678,0.029340,0.099171,0.296
-1,134,309.0,-0.605915,0.359504,-1.685,0.101651,0.080057,1.270
0,134,350.7,1.810169,0.635826,2.847,-0.303111,0.125943,-2.407
1,134,350.8,-2.054146,0.681659,-3.013,0.032872,0.105218,0.312
2,134,349.1,0.298817,0.376604,0.793,-0.311174,0.054050,-5.757
3,134,349.1,-0.404763,0.375965,-1.077,0.292885,0.129151,2.268
4,134,350.4,0.457346,0.355750,1.286,-0.115321,0.152608,-0.756
5,135,348.2,-0.078526,0.282735,-0.278,0.016199,0.165608,0.098
6,135,350.0,0.209175,0.223118,0.938,0.040575,0.093497,0.434
